,sentence
23,"Bos output: ['Die wichtigsten Handelspartner Jahr 2020 Volksrepublik China , Niederlande , Vereinigten Staaten , Frankreich , Polen Italien ', ' Die größten Exportmärkte USA, VR China, Frankreich Niederlande', ' Mehr Hälfte Außenhandels führte Deutschland Staaten Europäischen Union', ' Der Wert Exporte Gütern Dienstleistungen machte 2019 47 Prozent Wirtschaftsleistung aus, größeren Volkswirtschaften hoher Wert ist', ' Das Land deshalb potenziell anfällig Schwankungen globalen Handel, Aufschwung letzten Jahre konsumgetrieben war'] ### Input: Die wichtigsten Handelspartner im Jahr 2020 waren die Volksrepublik China , die Niederlande , die Vereinigten Staaten , Frankreich , Polen und Italien . Die größten Exportmärkte waren die USA, die VR China, Frankreich und die Niederlande. Mehr als die Hälfte seines Außenhandels führte Deutschland mit den Staaten der Europäischen Union. Der Wert aller Exporte von Gütern und Dienstleistungen machte 2019 47 Prozent der Wirtschaftsleistung aus, was unter den größeren Volkswirtschaften ein hoher Wert ist. Das Land ist deshalb potenziell anfällig für Schwankungen im globalen Handel, auch wenn der Aufschwung der letzten Jahre vor allem konsumgetrieben war. EOS"
24,"Bos output: ['In Architektur Indiens spiegeln verschiedenen kulturellen Einflüsse, Land prägten, wider', ' Neben Palast- Festungsbauten ragt Sakralarchitektur heraus'] ### Input: In der Architektur Indiens spiegeln sich die verschiedenen kulturellen Einflüsse, die das Land prägten, wider. Neben Palast- und Festungsbauten ragt vor allem die Sakralarchitektur heraus. EOS"
25,"Bos output: ['Weitere Kritikpunkte letzten Jahren Anwendung unangemessener Polizeigewalt', ' Insbesondere mehrere gewalttätige Übergriffe Polizeibeamte, unbestraft blieben, sorgten Aufsehen', ' Der Polizei räume „Fehler“ Gewalteinwendung kaum gar nicht ein', ' Laut Studie Amnesty International sei Anwenden unangemessener Gewalt Polizeibeamten letzten Jahren angestiegen begrenze nicht Vorfälle Protestaktionen Stuttgart 21 Castor-Transporte', ' Die Polizeibrutalität umfasse, laut Amnesty International, neben Gewalt Diebstahl, Totschlag Vergewaltigung'] ### Input: Weitere Kritikpunkte in den letzten Jahren sind die Anwendung von unangemessener Polizeigewalt. Insbesondere mehrere gewalttätige Übergriffe durch Polizeibeamte, die unbestraft blieben, sorgten für Aufsehen. Der Polizei räume ihre „Fehler“ bei der Gewalteinwendung kaum oder gar nicht ein. Laut einer Studie von Amnesty International sei das Anwenden von unangemessener Gewalt von Polizeibeamten in den letzten Jahren angestiegen und begrenze sich nicht nur auf Vorfälle während der Protestaktionen gegen Stuttgart 21 oder Castor-Transporte. Die Polizeibrutalität umfasse, laut Amnesty International, neben Gewalt auch Diebstahl, Totschlag und Vergewaltigung. EOS"
26,Bos output: ['Aufgrund oben genannten Doppelzuständigkeit Aufgabe Polizei'] ### Input: Aufgrund dieser oben genannten Doppelzuständigkeit kann die Aufgabe der Polizei EOS
27,"Bos output: ['Von sechs Strömen größten Einzugsgebieten entwässern Rhein, Elbe, Weser Ems Nordsee Oder Ostsee Atlantik, Donau Schwarze Meer fließt somit hydrographisch Mittelmeer zuzurechnen ist', ' Die Einzugsgebiete beiden Systeme europäische Hauptwasserscheide voneinander getrennt'] ### Input: Von den sechs Strömen mit den größten Einzugsgebieten entwässern Rhein, Elbe, Weser und Ems über die Nordsee und die Oder über die Ostsee in den Atlantik, während die Donau ins Schwarze Meer fließt und somit hydrographisch dem Mittelmeer zuzurechnen ist. Die Einzugsgebiete dieser beiden Systeme werden durch die europäische Hauptwasserscheide voneinander getrennt. EOS"
28,"Bos output: ['Für zukünftiges deutsches Kolonialreich begannen 1937 Planungen Kolonialpolizei', ' 1941 wurde Kolonialpolizeischule Oranienburg eingerichtet, nachweislich zwei Lehrgänge durchgeführt wurde', ' Eine weitere Schule befand Wien', ' Das Projekt wurde aufgrund Kriegslage 1943 aufgegeben'] ### Input: Für ein zukünftiges deutsches Kolonialreich begannen um 1937 Planungen für eine Kolonialpolizei. 1941 wurde die Kolonialpolizeischule Oranienburg eingerichtet, an der nachweislich zwei Lehrgänge durchgeführt wurde. Eine weitere Schule befand sich in Wien. Das Projekt wurde aufgrund der Kriegslage 1943 aufgegeben. EOS"
29,"Bos output: ['Polizeiverwaltungsbehörden Behörden, Regel Gefahrenabwehr Ausführung Gesetze Polizeigesetz tätig werden', ' Es handelt je Verwaltungsaufbau Landes Landes-, Bezirks-, Kreis- Ortspolizeibehörden', ' Die Aufgaben einzelnen Ämtern Ordnungsamt Gewerbeaufsichtsamt Behörde wahrgenommen', ' Diese Definition Baden-Württemberg nicht vollem Umfang anzuwenden'] ### Input: Polizeiverwaltungsbehörden sind die Behörden, die in der Regel zur Gefahrenabwehr in Ausführung anderer Gesetze als dem Polizeigesetz tätig werden. Es handelt sich je nach Verwaltungsaufbau des Landes um Landes-, Bezirks-, Kreis- und Ortspolizeibehörden. Die Aufgaben werden von einzelnen Ämtern wie dem Ordnungsamt oder dem Gewerbeaufsichtsamt für die Behörde wahrgenommen. Diese Definition ist für Baden-Württemberg nicht in vollem Umfang anzuwenden. EOS"
30,"Bos output: ['Während DDR staatlich gelenkte Planwirtschaft aufgebaut wurde, entschied Bundesrepublik genannte soziale Marktwirtschaft geringem staatlichem Einfluss', ' Die sowjetische Besatzungsmacht sorgte hohen Reparationsforderungen schwierige Startbedingungen Gebiet DDR, Bundesrepublik ausländischer Hilfe „Wirtschaftswunder“ einsetzte, anhaltend hohen Wachstumsraten, Vollbeschäftigung Wohlstand führte'] ### Input: Während in der DDR eine staatlich gelenkte Planwirtschaft aufgebaut wurde, entschied sich die Bundesrepublik für die so genannte soziale Marktwirtschaft mit geringem staatlichem Einfluss. Die sowjetische Besatzungsmacht sorgte mit hohen Reparationsforderungen für schwierige Startbedingungen auf dem Gebiet der DDR, während in der Bundesrepublik mit ausländischer Hilfe ein „Wirtschaftswunder“ einsetzte, das zu anhaltend hohen Wachstumsraten, Vollbeschäftigung und Wohlstand führte. EOS"
31,"Bos output: ['Der Großteil Bevölkerung gehört gesetzlichen Krankenversicherung an, deren Beiträge hauptsächlich Einkommenshöhe orientieren', ' Familienmitglieder eigenes Einkommen oft beitragsfrei mitversichert', ' Der Leistungsanspruch unabhängig Beitragshöhe', ' Etwa 10,8 Prozent Versicherten 2017 privat krankenversichert'] ### Input: Der Großteil der Bevölkerung gehört der gesetzlichen Krankenversicherung an, deren Beiträge sich hauptsächlich an der Einkommenshöhe orientieren. Familienmitglieder ohne eigenes Einkommen sind oft beitragsfrei mitversichert. Der Leistungsanspruch ist unabhängig von der Beitragshöhe. Etwa 10,8 Prozent der Versicherten waren 2017 privat krankenversichert. EOS"
32,"Bos output: ['Deutschland Gründungsmitglied Europäischen Union Vorgänger sowie deren bevölkerungsreichstes Land', ' Mit 18 EU-Mitgliedstaaten bildet Währungsunion, Eurozone', ' Es Mitglied UN, OECD, OSZE, NATO, G7, G20 Europarates', ' Die Vereinten Nationen unterhalten seit 1951 deutschen Sitz Bonn ', ' Die Bundesrepublik Deutschland gilt politisch einflussreichsten Staaten Europas gesuchtes Partnerland globaler Ebene'] ### Input: Deutschland ist Gründungsmitglied der Europäischen Union und ihrer Vorgänger sowie deren bevölkerungsreichstes Land. Mit 18 anderen EU-Mitgliedstaaten bildet es eine Währungsunion, die Eurozone. Es ist Mitglied der UN, der OECD, der OSZE, der NATO, der G7, der G20 und des Europarates. Die Vereinten Nationen unterhalten seit 1951 ihren deutschen Sitz in Bonn . Die Bundesrepublik Deutschland gilt als einer der politisch einflussreichsten Staaten Europas und ist ein gesuchtes Partnerland auf globaler Ebene. EOS"
33,"Bos output: ['Die traditionelle Binnenfischerei Flüssen, Teichen Seen spielt besonders Osten Nordosten Indiens Rolle', ' Im Umland Delhi etabliert kommerzielle Zucht Fischen, Karpfen'] ### Input: Die traditionelle Binnenfischerei in Flüssen, Teichen und Seen spielt besonders im Osten und Nordosten Indiens eine Rolle. Im Umland von Delhi etabliert sich nun auch die kommerzielle Zucht von Fischen, vor allem Karpfen. EOS"
34,"Bos output: ['Die Volkspolizei unterstand Innenministerium DDR', ' Die Grenztruppen hingegen Verteidigungsministerium DDR unterstellt besaßen alleinige Polizeigewalt mehrere Kilometer breiten Grenzbereich', ' An Schranke Inneren DDR kommend Einfahrt Grenzbereich endete Zuständigkeits- Befugnisgebiet Volkspolizei begann Grenztruppen Grenzpolizei'] ### Input: Die Volkspolizei unterstand dem Innenministerium der DDR. Die Grenztruppen waren hingegen dem Verteidigungsministerium der DDR unterstellt und besaßen die alleinige Polizeigewalt im mehrere Kilometer breiten Grenzbereich. An der Schranke aus dem Inneren der DDR kommend zur Einfahrt in diesen Grenzbereich endete das Zuständigkeits- und Befugnisgebiet der Volkspolizei und begann das der Grenztruppen und der Grenzpolizei. EOS"
35,"Bos output: ['Die Regelungen Polizeigewalt Deutschen Bundestag Parlamenten Länder spiegelt Gewaltenteilung wider', ' Gem', ' Art', ' 40 Abs', ' 2 Grundgesetz übt Bundestagspräsident alleinige Polizeigewalt Gebäuden Deutschen Bundestages aus', ' Dafür verfügt eigene Polizeibehörde, Polizei beim Deutschen Bundestag bezeichnet wird', ' Sie beschäftigt rund 210 Beamte Abwehr Gefahren öffentliche Sicherheit Ordnung sowie Verfolgung Straftaten Ordnungswidrigkeiten Bundestagsgebäuden dazugehörenden Gelände zuständig', ' Andere Polizeibehörden, etwa Bundespolizei Polizei Berlin, sowie Staatsanwaltschaften Bereichen ausdrücklich dahingehenden Befugnisse'] ### Input: Die Regelungen über die Polizeigewalt im Deutschen Bundestag und den Parlamenten der Länder spiegelt die Gewaltenteilung wider. Gem. Art. 40 Abs. 2 Grundgesetz übt der Bundestagspräsident die alleinige Polizeigewalt in den Gebäuden des Deutschen Bundestages aus. Dafür verfügt er über eine eigene Polizeibehörde, die als Polizei beim Deutschen Bundestag bezeichnet wird. Sie beschäftigt rund 210 Beamte und ist für die Abwehr von Gefahren für die öffentliche Sicherheit und Ordnung sowie für die Verfolgung von Straftaten und Ordnungswidrigkeiten in den Bundestagsgebäuden und dem dazugehörenden Gelände zuständig. Andere Polizeibehörden, etwa die Bundespolizei oder die Polizei Berlin, sowie Staatsanwaltschaften haben in diesen Bereichen ausdrücklich keine dahingehenden Befugnisse. EOS"
36,"Bos output: ['Das Dynabook 1972 Alan Kay Xerox PARC entworfenes Konzept', ' Es zeigt flaches rechteckiges Gehäuse, Oberfläche sowohl Bildschirm Tastatur gleichen Ebene integriert sind', ' Somit Grundideen sowohl Laptops Tabletcomputers formuliert', ' Wegen seinerzeit fehlenden technischen Möglichkeiten wurde Konzept nicht umgesetzt'] ### Input: Das Dynabook ist ein 1972 von Alan Kay am Xerox PARC entworfenes Konzept. Es zeigt ein flaches rechteckiges Gehäuse, in dessen Oberfläche sowohl Bildschirm als auch Tastatur in der gleichen Ebene integriert sind. Somit sind in ihm die Grundideen sowohl des Laptops als auch des Tabletcomputers formuliert. Wegen der seinerzeit fehlenden technischen Möglichkeiten wurde das Konzept nicht umgesetzt. EOS"
37,"Bos output: ['Anschließend restaurierte Wiener Kongress weitgehend monarchische Herrschaft', ' Im Deutschen Bund, Österreich Preußen dominierten Staatenbund, organisierten 38 Staaten Frankfurter Bundestag Entscheidungsgremium', ' 1833/1834 wurde Deutsche Zollverein preußischer Vormacht geschaffen', ' Im Vormärz unterdrückte alte Herrschaftselite wirtschaftlich erstarkende Bürgertum , politische Teilhabe Bildung Nationalstaats forderte, 1817 beim studentischen Wartburgfest 1832 beim Hambacher Fest Hissen Schwarz-Rot-Gold, späteren Nationalfarben'] ### Input: Anschließend restaurierte der Wiener Kongress weitgehend die monarchische Herrschaft. Im Deutschen Bund, einem von Österreich und Preußen dominierten Staatenbund, organisierten sich 38 Staaten mit dem Frankfurter Bundestag als Entscheidungsgremium. 1833/1834 wurde der Deutsche Zollverein unter preußischer Vormacht geschaffen. Im Vormärz unterdrückte die alte Herrschaftselite das wirtschaftlich erstarkende Bürgertum , das weiter politische Teilhabe und die Bildung eines Nationalstaats forderte, so 1817 beim studentischen Wartburgfest und 1832 beim Hambacher Fest mit dem Hissen von Schwarz-Rot-Gold, den späteren Nationalfarben. EOS"
38,"Bos output: ['Jeder Bürger Petitionsrecht Möglichkeit, Eingaben Europäische Parlament, Bundestag Landesparlament senden', ' Die Wahlkreisabgeordneten halten Sprechstunden ab, Kontakt Bürgern aufrechtzuerhalten', ' Jeder Anliegen vorbringen'] ### Input: Jeder Bürger hat durch das Petitionsrecht die Möglichkeit, Eingaben an das Europäische Parlament, den Bundestag und sein Landesparlament zu senden. Die Wahlkreisabgeordneten halten Sprechstunden ab, um Kontakt mit den Bürgern aufrechtzuerhalten. Jeder kann dort sein Anliegen vorbringen. EOS"
39,"Bos output: ['Die Verfasser Grundgesetzes Ende Weimarer Republik Konsequenzen gezogen damals herrschenden Positivismus Teil Grundgesetzes Naturrecht, überpositivem Recht gemacht', ' Diese Unveränderlichkeit wurde Art', ' 79 Abs', ' 3 GG festgeschrieben gilt Art', ' 1 GG , Art', ' 20 GG Gliederung Länder sowie deren Mitwirken Gesetzgebung'] ### Input: Die Verfasser des Grundgesetzes haben aus dem Ende der Weimarer Republik Konsequenzen gezogen und den damals herrschenden Positivismus und einen Teil des Grundgesetzes zu Naturrecht, also zu überpositivem Recht gemacht. Diese Unveränderlichkeit wurde in Art. 79 Abs. 3 GG festgeschrieben und gilt für Art. 1 GG , Art. 20 GG und die Gliederung in Länder sowie deren Mitwirken bei der Gesetzgebung. EOS"
40,"Bos output: ['Neben klassischen Musik verfügt Indien reiche Volksmusiktraditionen verschiedenen Landesteilen', ' Bekannt Bhangra-Musik Punjab bengalischen Baul-Musiker', ' Heute traditionelle Volksmusik eher ländliche Gebiete beschränkt'] ### Input: Neben der klassischen Musik verfügt Indien über reiche Volksmusiktraditionen in den verschiedenen Landesteilen. Bekannt sind die Bhangra-Musik aus dem Punjab oder die bengalischen Baul-Musiker. Heute ist die traditionelle Volksmusik eher auf ländliche Gebiete beschränkt. EOS"
41,"Bos output: ['Die Mitglieder Bundesrats Landesregierungen Länder entsandt', ' Der Bundesrat rein legislatives Organ', ' Seine Mitwirkung Verwaltung Bundes besteht Wesentlichen darin, bestimmten Rechtsverordnungen Verwaltungsvorschriften Zustimmung erteilen muss', ' Er wurde geschaffen, Mitwirkung Länder Bundesgesetzen gewährleisten, Belange Länder betreffen', ' Er stets beim Gesetzgebungsprozess beteiligt, Veto jedoch überstimmt werden, Bundesgesetz nicht zustimmungsbedürftig ist'] ### Input: Die Mitglieder des Bundesrats werden von den Landesregierungen der Länder entsandt. Der Bundesrat ist kein rein legislatives Organ. Seine Mitwirkung an der Verwaltung des Bundes besteht im Wesentlichen darin, dass er zu bestimmten Rechtsverordnungen und Verwaltungsvorschriften seine Zustimmung erteilen muss. Er wurde geschaffen, um die Mitwirkung der Länder an Bundesgesetzen zu gewährleisten, wenn diese die Belange der Länder betreffen. Er ist stets beim Gesetzgebungsprozess beteiligt, sein Veto kann jedoch überstimmt werden, wenn ein Bundesgesetz nicht zustimmungsbedürftig ist. EOS"
42,"Bos output: ['Im Wattenmeer, niederländischen, deutschen dänischen Nordseeküste unmittelbar vorgelagert, liegen Friesischen Inseln', ' Während Nordfriesischen Inseln Festlandsreste sind, Landsenkung nachfolgende Überflutung Küste getrennt wurden, handelt Ostfriesischen Inseln Barriereinseln, küstenparallele Strömungen sowie Wellen- Gezeitendynamik angespülten Sedimenten entstanden', ' Das inmitten Deutschen Bucht gelegene Helgoland weitesten Festland entfernt liegende bewohnte deutsche Insel', ' Sie geht Aufstieg Salzstockes Untergrund Nordsee zurück'] ### Input: Im Wattenmeer, der niederländischen, deutschen und dänischen Nordseeküste unmittelbar vorgelagert, liegen die Friesischen Inseln. Während die Nordfriesischen Inseln Festlandsreste sind, die durch Landsenkung und nachfolgende Überflutung von der Küste getrennt wurden, handelt es sich bei den Ostfriesischen Inseln um Barriereinseln, die aus durch küstenparallele Strömungen sowie Wellen- und Gezeitendynamik angespülten Sedimenten entstanden. Das inmitten der Deutschen Bucht gelegene Helgoland ist die am weitesten vom Festland entfernt liegende bewohnte deutsche Insel. Sie geht auf den Aufstieg eines Salzstockes im Untergrund der Nordsee zurück. EOS"
